SWITCH,MAC,INTERFACE,VLAN,IP,VENDOR,CDP_PLATFORM,CDP_HOSTNAME,STATIC IP or DHCP,Cisco Comments,Customer Comments,Fabric IP (Old/New/Remove)
site2_swi01,0056.2b72.9747,Vlan1,1,,"Cisco Systems, Inc",,, , ,, 
site2_swi01,001b.d880.b057,GigabitEthernet2/0/17,201,10.84.254.16,FLIR Systems Inc,,, , ,, 
site2_swi01,001b.d880.b05c,GigabitEthernet2/0/17,201,10.84.254.17,FLIR Systems Inc,,, , ,, 
site2_swi01,001b.d880.d79a,GigabitEthernet2/0/17,201,10.84.254.18,FLIR Systems Inc,,, , ,, 
site2_swi01,0040.8421.2067,GigabitEthernet2/0/17,201,10.84.254.20,Honeywell International HPS,,, , ,, 
site2_swi01,0056.2b72.974c,Vlan201,201,10.84.254.1,"Cisco Systems, Inc",,, , ,, 
site2_swi01,5838.791f.3e3c,GigabitEthernet2/0/2,201,10.84.254.14,"RICOH COMPANY, LTD.",,, , ,, 
site2_swi01,d8cb.8aa2.1ce5,GigabitEthernet2/0/17,201,10.84.254.19,"Micro-Star INTL CO., LTD.",,, , ,, 
site2_swi01,e00e.da37.14cc,GigabitEthernet2/0/47,201,10.84.255.52,"Cisco Systems, Inc",AIR-CAP37,lou-wap02, , ,, 
site2_swi01,e00e.da37.15b8,GigabitEthernet2/0/48,201,10.84.255.36,"Cisco Systems, Inc",AIR-CAP37,lou-wap03, , ,, 
site2_swi01,e00e.da70.1c48,GigabitEthernet2/0/46,201,10.84.254.215,"Cisco Systems, Inc",AIR-CAP37,lou-wap01, , ,, 
site2_swi01,e898.6d89.7900,GigabitEthernet2/0/13,201,10.84.255.247,Palo Alto Networks,,, , ,, 
site2_swi01,e898.6d89.7910,GigabitEthernet1/0/8,201,10.84.255.248,Palo Alto Networks,,, , ,, 
site2_swi01,0004.f2eb.a10a,GigabitEthernet2/0/8,101,10.84.253.33,Polycom,Phone,SEP0004f2eba10a, , ,, 
site2_swi01,0015.fafe.43bd,GigabitEthernet1/0/16,101,10.84.253.25,"Cisco Systems, Inc",Phone,SEP0015FAFE43BD, , ,, 
site2_swi01,0015.fafe.43c7,GigabitEthernet1/0/18,101,10.84.253.23,"Cisco Systems, Inc",Phone,SEP0015FAFE43C7, , ,, 
site2_swi01,0015.fafe.4435,GigabitEthernet1/0/33,101,10.84.253.155,"Cisco Systems, Inc",Phone,SEP0015FAFE4435, , ,, 
site2_swi01,0015.fafe.448e,GigabitEthernet1/0/10,101,10.84.253.244,"Cisco Systems, Inc",Phone,SEP0015FAFE448E, , ,, 
site2_swi01,0015.fafe.44c2,GigabitEthernet1/0/34,101,10.84.253.134,"Cisco Systems, Inc",Phone,SEP0015FAFE44C2, , ,, 
site2_swi01,0015.fafe.44d6,GigabitEthernet1/0/14,101,10.84.253.129,"Cisco Systems, Inc",Phone,SEP0015FAFE44D6, , ,, 
site2_swi01,0015.fafe.4539,GigabitEthernet1/0/44,101,10.84.253.152,"Cisco Systems, Inc",Phone,SEP0015FAFE4539, , ,, 
site2_swi01,0015.fafe.4558,GigabitEthernet1/0/36,101,10.84.253.247,"Cisco Systems, Inc",Phone,SEP0015FAFE4558, , ,, 
site2_swi01,0015.fafe.455a,GigabitEthernet1/0/41,101,10.84.253.248,"Cisco Systems, Inc",Phone,SEP0015FAFE455A, , ,, 
site2_swi01,0016.4642.9848,GigabitEthernet1/0/15,101,10.84.253.128,"Cisco Systems, Inc",Phone,SEP001646429848, , ,, 
site2_swi01,0056.2b72.9741,Vlan101,101,10.84.253.1,"Cisco Systems, Inc",,, , ,, 
site2_swi01,ac44.f217.2582,GigabitEthernet1/0/20,101,10.84.253.63,YAMAHA CORPORATION,Phone,SEPAC44F2172582, , ,, 
site2_swi01,ac44.f217.25f6,GigabitEthernet1/0/30,101,10.84.253.59,YAMAHA CORPORATION,Phone,SEPAC44F21725F6, , ,, 
