site2_swi01#show arp 
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.84.253.1             -   0056.2b72.9741  ARPA   Vlan101
Internet  10.84.253.23            0   0015.fafe.43c7  ARPA   Vlan101
Internet  10.84.253.25            0   0015.fafe.43bd  ARPA   Vlan101
Internet  10.84.253.33            0   0004.f2eb.a10a  ARPA   Vlan101
Internet  10.84.253.59            0   ac44.f217.25f6  ARPA   Vlan101
Internet  10.84.253.63            0   ac44.f217.2582  ARPA   Vlan101
Internet  10.84.253.128           0   0016.4642.9848  ARPA   Vlan101
Internet  10.84.253.129           0   0015.fafe.44d6  ARPA   Vlan101
Internet  10.84.253.134           0   0015.fafe.44c2  ARPA   Vlan101
Internet  10.84.253.152           0   0015.fafe.4539  ARPA   Vlan101
Internet  10.84.253.155           0   0015.fafe.4435  ARPA   Vlan101
Internet  10.84.253.244           0   0015.fafe.448e  ARPA   Vlan101
Internet  10.84.253.247           0   0015.fafe.4558  ARPA   Vlan101
Internet  10.84.253.248           0   0015.fafe.455a  ARPA   Vlan101
Internet  10.84.254.1             -   0056.2b72.974c  ARPA   Vlan201
Internet  10.84.254.14            0   5838.791f.3e3c  ARPA   Vlan201
Internet  10.84.254.16            0   001b.d880.b057  ARPA   Vlan201
Internet  10.84.254.17            0   001b.d880.b05c  ARPA   Vlan201
Internet  10.84.254.18            0   001b.d880.d79a  ARPA   Vlan201
Internet  10.84.254.19            0   d8cb.8aa2.1ce5  ARPA   Vlan201
Internet  10.84.254.20            0   0040.8421.2067  ARPA   Vlan201
Internet  10.84.254.215           0   e00e.da70.1c48  ARPA   Vlan201
Internet  10.84.255.36            0   e00e.da37.15b8  ARPA   Vlan201
Internet  10.84.255.52            0   e00e.da37.14cc  ARPA   Vlan201
Internet  10.84.255.223           0   Incomplete      ARPA   
Internet  10.84.255.247         164   e898.6d89.7900  ARPA   Vlan201
Internet  10.84.255.248           1   e898.6d89.7910  ARPA   Vlan201
Internet  10.88.0.117           164   0462.7397.7830  ARPA   GigabitEthernet1/0/1
Internet  10.88.0.118             -   0056.2b72.9764  ARPA   GigabitEthernet1/0/1
