SWITCH,MAC,INTERFACE,VLAN,IP,VENDOR,CDP_PLATFORM,CDP_HOSTNAME,STATIC IP or DHCP,Cisco Comments,Customer Comments,Fabric IP (Old/New/Remove)
site1_switch1,006b.f170.da40,GigabitEthernet3/0/46,1,,"Cisco Systems, Inc",AIR-CAP37,alp-wap04, , ,, 
site1_switch1,006b.f18c.9e7c,GigabitEthernet3/0/45,1,,"Cisco Systems, Inc",AIR-CAP37,alp-wap03, , ,, 
site1_switch1,006b.f18c.a48c,GigabitEthernet3/0/47,1,,"Cisco Systems, Inc",AIR-CAP37,alp-wap05, , ,, 
site1_switch1,006b.f19c.c0b4,GigabitEthernet3/0/44,1,,"Cisco Systems, Inc",AIR-CAP37,alp-wap02, , ,, 
site1_switch1,006b.f19c.c460,GigabitEthernet3/0/43,1,,"Cisco Systems, Inc",AIR-CAP37,alp-wap01, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,1,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,2852.610c.5cb8,Port-channel1,1,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,000c.295a.46c0,GigabitEthernet2/0/22,201,10.91.146.247,"VMware, Inc.",,, , ,, 
site1_switch1,001b.1700.0110,GigabitEthernet2/0/47,201,10.91.146.30,Palo Alto Networks,,, , ,, 
site1_switch1,001b.d860.22d5,GigabitEthernet3/0/18,201,10.91.146.26,FLIR Systems Inc,,, , ,, 
site1_switch1,001b.d860.238d,GigabitEthernet3/0/20,201,10.91.146.25,FLIR Systems Inc,,, , ,, 
site1_switch1,0026.73dd.8c6a,GigabitEthernet3/0/1,201,10.91.146.28,"RICOH COMPANY,LTD.",,, , ,, 
site1_switch1,0040.8421.a105,GigabitEthernet3/0/14,201,10.91.146.23,Honeywell International HPS,,, , ,, 
site1_switch1,006b.f170.da40,GigabitEthernet3/0/46,201,10.91.146.40,"Cisco Systems, Inc",AIR-CAP37,alp-wap04, , ,, 
site1_switch1,006b.f18c.9e7c,GigabitEthernet3/0/45,201,10.91.146.41,"Cisco Systems, Inc",AIR-CAP37,alp-wap03, , ,, 
site1_switch1,006b.f18c.a48c,GigabitEthernet3/0/47,201,10.91.146.31,"Cisco Systems, Inc",AIR-CAP37,alp-wap05, , ,, 
site1_switch1,006b.f19c.c0b4,GigabitEthernet3/0/44,201,10.91.146.77,"Cisco Systems, Inc",AIR-CAP37,alp-wap02, , ,, 
site1_switch1,006b.f19c.c460,GigabitEthernet3/0/43,201,10.91.146.240,"Cisco Systems, Inc",AIR-CAP37,alp-wap01, , ,, 
site1_switch1,240b.0a00.5564,GigabitEthernet2/0/43,201,10.91.146.19,Palo Alto Networks,,, , ,, 
site1_switch1,240b.0a00.940c,GigabitEthernet1/0/43,201,10.91.146.29,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,201,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,2852.610c.5ccc,Port-channel1,201,10.91.146.10,"Cisco Systems, Inc",,, , ,, 
site1_switch1,2c0b.e992.db4c,Vlan201,201,10.91.146.1,"Cisco Systems, Inc",,, , ,, 
site1_switch1,3c58.c239.0b66,GigabitEthernet3/0/44,201,10.91.146.233,Intel Corporate,AIR-CAP37,alp-wap02, , ,, 
site1_switch1,4ccc.6a4f.1204,drop,201,,"Micro-Star INTL CO., LTD.",,, , ,, 
site1_switch1,50e0.8535.79d8,GigabitEthernet3/0/46,201,10.91.146.109,Intel Corporate,AIR-CAP37,alp-wap04, , ,, 
site1_switch1,a44c.c84b.ea69,GigabitEthernet2/0/22,201,10.91.146.160,Dell Inc.,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,101,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,2c0b.e992.db41,Vlan101,101,10.105.24.1,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,301,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,301,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,0015.5d0a.1e60,Port-channel1,302,,Microsoft Corporation,,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,302,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,302,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,b8ca.3a63.6c64,Port-channel1,302,,Dell Inc.,,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,303,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,303,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,304,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,304,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,305,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,305,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,306,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,306,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,307,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,307,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,308,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,308,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,309,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,309,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,310,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,310,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,311,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,311,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,312,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,312,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,313,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,313,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,314,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,314,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,315,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,315,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,316,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,316,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,317,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,317,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,318,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,318,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,319,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,319,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,320,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,320,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,321,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,321,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,322,,Palo Alto Networks,,, , ,, 
site1_switch1,2852.610c.5cb7,Port-channel1,322,,"Cisco Systems, Inc",,, , ,, 
site1_switch1,001b.1700.0111,GigabitEthernet2/0/48,323,,Palo Alto Networks,,, , ,, 
